CODE	NAME	CREDITS	SUMMER
ARTI4101	Gerencia de Proyectos para Arquitectos	4	False
ARTI4102	Comunicación Efectiva para Arquitectos	4	False
ARTI4103	Arquitectura de Negocios y Estrategia de TI	4	False
ARTI4104	Fundamentos para Arquitectos	4	False
ARTI4201	Arquitectura de Solución	4	False
ARTI4202	Arquitectura de Información 4	False
ARTI4203	Arquitectura de Infraestructura de TI	4	False
ARTI4204	Arquitectura de Seguridad	4	False
ARTI4205	Arquitectura de Procesos de Negocio	4	False
ARTI4301	Proyecto final	4	False
ARTI4106	Arquitectura Empresarial	4	False